#datatype measurement,dateTime,long,tag,tag,tag
record,time,val,hostNode,clusterName
es-threadpool_thread_pool_write_rejected.difference,1719337673000000000,13,es-data-paid1-es7-24-1e,,paid1-es7
es-threadpool_thread_pool_write_rejected.difference,1719337733000000000,222,es-data-paid1-es7-24-1e,,paid1-es7
es-threadpool_thread_pool_write_rejected.difference,1719337793000000000,49,es-data-paid1-es7-24-1e,,paid1-es7
es-threadpool_thread_pool_write_rejected.difference,1719337853000000000,189,es-data-paid1-es7-24-1e,,paid1-es7
es-threadpool_thread_pool_write_rejected.difference,1719337913000000000,32,es-data-paid1-es7-24-1e,,paid1-es7
es-threadpool_thread_pool_write_rejected.difference,1719337973000000000,0,es-data-paid1-es7-24-1e,,paid1-es7
es-threadpool_thread_pool_write_rejected.difference,1719338033000000000,0,es-data-paid1-es7-24-1e,,paid1-es7
es-threadpool_thread_pool_write_rejected.difference,1719338093000000000,23,es-data-paid1-es7-24-1e,,paid1-es7
es-threadpool_thread_pool_write_rejected.difference,1719338153000000000,139,es-data-paid1-es7-24-1e,,paid1-es7
es-threadpool_thread_pool_write_rejected.difference,1719338213000000000,238,es-data-paid1-es7-24-1e,,paid1-es7
es-threadpool_thread_pool_write_rejected.difference,1719338273000000000,115,es-data-paid1-es7-24-1e,,paid1-es7
es-threadpool_thread_pool_write_rejected.difference,1719338333000000000,360,es-data-paid1-es7-24-1e,,paid1-es7
es-threadpool_thread_pool_write_rejected.difference,1719338393000000000,256,es-data-paid1-es7-24-1e,,paid1-es7
es-threadpool_thread_pool_write_rejected.difference,1719338453000000000,103,es-data-paid1-es7-24-1e,,paid1-es7
es-threadpool_thread_pool_write_rejected.difference,1719338513000000000,0,es-data-paid1-es7-24-1e,,paid1-es7
es-threadpool_thread_pool_write_rejected.difference,1719338573000000000,181,es-data-paid1-es7-24-1e,,paid1-es7
es-threadpool_thread_pool_write_rejected.difference,1719338633000000000,0,es-data-paid1-es7-24-1e,,paid1-es7
es-threadpool_thread_pool_write_rejected.difference,1719338693000000000,309,es-data-paid1-es7-24-1e,,paid1-es7
es-threadpool_thread_pool_write_rejected.difference,1719338753000000000,143,es-data-paid1-es7-24-1e,,paid1-es7
es-threadpool_thread_pool_write_rejected.difference,1719338813000000000,13,es-data-paid1-es7-24-1e,,paid1-es7
es-threadpool_thread_pool_write_rejected.difference,1719338873000000000,0,es-data-paid1-es7-24-1e,,paid1-es7
es-threadpool_thread_pool_write_rejected.difference,1719338933000000000,11,es-data-paid1-es7-24-1e,,paid1-es7
es-threadpool_thread_pool_write_rejected.difference,1719338993000000000,23,es-data-paid1-es7-24-1e,,paid1-es7
es-threadpool_thread_pool_write_rejected.difference,1719339053000000000,0,es-data-paid1-es7-24-1e,,paid1-es7
es-threadpool_thread_pool_write_rejected.difference,1719339113000000000,145,es-data-paid1-es7-24-1e,,paid1-es7
es-threadpool_thread_pool_write_rejected.difference,1719339173000000000,450,es-data-paid1-es7-24-1e,,paid1-es7
es-threadpool_thread_pool_write_rejected.difference,1719339233000000000,221,es-data-paid1-es7-24-1e,,paid1-es7
es-threadpool_thread_pool_write_rejected.difference,1719339293000000000,147,es-data-paid1-es7-24-1e,,paid1-es7
es-threadpool_thread_pool_write_rejected.difference,1719339353000000000,248,es-data-paid1-es7-24-1e,,paid1-es7
es-threadpool_thread_pool_write_rejected.difference,1719339413000000000,295,es-data-paid1-es7-24-1e,,paid1-es7
es-threadpool_thread_pool_write_rejected.difference,1719339473000000000,50,es-data-paid1-es7-24-1e,,paid1-es7
es-threadpool_thread_pool_write_rejected.difference,1719339533000000000,0,es-data-paid1-es7-24-1e,,paid1-es7
es-threadpool_thread_pool_write_rejected.difference,1719339593000000000,230,es-data-paid1-es7-24-1e,,paid1-es7
es-threadpool_thread_pool_write_rejected.difference,1719339653000000000,110,es-data-paid1-es7-24-1e,,paid1-es7
es-threadpool_thread_pool_write_rejected.difference,1719339713000000000,103,es-data-paid1-es7-24-1e,,paid1-es7
