#datatype measurement,dateTime,long,tag
record,time,val,hostNode
es-index_indices_index_refresh_time,1719337613000000000,74725,es-data-paid1-es7-21-1b
es-index_indices_index_refresh_time,1719337673000000000,72944,es-data-paid1-es7-21-1b
es-index_indices_index_refresh_time,1719337733000000000,68919,es-data-paid1-es7-21-1b
es-index_indices_index_refresh_time,1719337793000000000,68134,es-data-paid1-es7-21-1b
es-index_indices_index_refresh_time,1719337853000000000,75832,es-data-paid1-es7-21-1b
es-index_indices_index_refresh_time,1719337913000000000,70077,es-data-paid1-es7-21-1b
es-index_indices_index_refresh_time,1719337973000000000,64009,es-data-paid1-es7-21-1b
es-index_indices_index_refresh_time,1719338033000000000,71636,es-data-paid1-es7-21-1b
es-index_indices_index_refresh_time,1719338093000000000,69946,es-data-paid1-es7-21-1b
es-index_indices_index_refresh_time,1719338153000000000,66145,es-data-paid1-es7-21-1b
es-index_indices_index_refresh_time,1719338213000000000,70054,es-data-paid1-es7-21-1b
es-index_indices_index_refresh_time,1719338273000000000,74324,es-data-paid1-es7-21-1b
es-index_indices_index_refresh_time,1719338333000000000,71969,es-data-paid1-es7-21-1b
es-index_indices_index_refresh_time,1719338393000000000,66212,es-data-paid1-es7-21-1b
es-index_indices_index_refresh_time,1719338453000000000,69914,es-data-paid1-es7-21-1b
es-index_indices_index_refresh_time,1719338513000000000,64201,es-data-paid1-es7-21-1b
es-index_indices_index_refresh_time,1719338573000000000,75135,es-data-paid1-es7-21-1b
es-index_indices_index_refresh_time,1719338633000000000,61596,es-data-paid1-es7-21-1b
es-index_indices_index_refresh_time,1719338693000000000,55080,es-data-paid1-es7-21-1b
es-index_indices_index_refresh_time,1719338753000000000,59602,es-data-paid1-es7-21-1b
es-index_indices_index_refresh_time,1719338813000000000,57565,es-data-paid1-es7-21-1b
es-index_indices_index_refresh_time,1719338873000000000,65452,es-data-paid1-es7-21-1b
es-index_indices_index_refresh_time,1719338933000000000,69314,es-data-paid1-es7-21-1b
es-index_indices_index_refresh_time,1719338993000000000,77125,es-data-paid1-es7-21-1b
es-index_indices_index_refresh_time,1719339053000000000,78056,es-data-paid1-es7-21-1b
es-index_indices_index_refresh_time,1719339113000000000,81723,es-data-paid1-es7-21-1b
es-index_indices_index_refresh_time,1719339173000000000,69797,es-data-paid1-es7-21-1b
es-index_indices_index_refresh_time,1719339233000000000,70721,es-data-paid1-es7-21-1b
es-index_indices_index_refresh_time,1719339293000000000,76694,es-data-paid1-es7-21-1b
es-index_indices_index_refresh_time,1719339353000000000,69727,es-data-paid1-es7-21-1b
es-index_indices_index_refresh_time,1719339413000000000,70785,es-data-paid1-es7-21-1b
es-index_indices_index_refresh_time,1719339473000000000,72368,es-data-paid1-es7-21-1b
es-index_indices_index_refresh_time,1719339533000000000,72595,es-data-paid1-es7-21-1b
es-index_indices_index_refresh_time,1719339593000000000,65663,es-data-paid1-es7-21-1b
es-index_indices_index_refresh_time,1719339653000000000,68026,es-data-paid1-es7-21-1b
es-index_indices_index_refresh_time,1719339713000000000,65424,es-data-paid1-es7-21-1b
