#datatype measurement,dateTime,long,tag
record,time,val,hostNode
es-index_indices_index_refresh_time,1719337613000000000,66204,es-data-paid1-es7-24-1e
es-index_indices_index_refresh_time,1719337673000000000,67020,es-data-paid1-es7-24-1e
es-index_indices_index_refresh_time,1719337733000000000,65727,es-data-paid1-es7-24-1e
es-index_indices_index_refresh_time,1719337793000000000,69034,es-data-paid1-es7-24-1e
es-index_indices_index_refresh_time,1719337853000000000,62914,es-data-paid1-es7-24-1e
es-index_indices_index_refresh_time,1719337913000000000,67424,es-data-paid1-es7-24-1e
es-index_indices_index_refresh_time,1719337973000000000,68244,es-data-paid1-es7-24-1e
es-index_indices_index_refresh_time,1719338033000000000,67956,es-data-paid1-es7-24-1e
es-index_indices_index_refresh_time,1719338093000000000,63869,es-data-paid1-es7-24-1e
es-index_indices_index_refresh_time,1719338153000000000,66081,es-data-paid1-es7-24-1e
es-index_indices_index_refresh_time,1719338213000000000,65484,es-data-paid1-es7-24-1e
es-index_indices_index_refresh_time,1719338273000000000,64990,es-data-paid1-es7-24-1e
es-index_indices_index_refresh_time,1719338333000000000,71368,es-data-paid1-es7-24-1e
es-index_indices_index_refresh_time,1719338393000000000,66772,es-data-paid1-es7-24-1e
es-index_indices_index_refresh_time,1719338453000000000,69033,es-data-paid1-es7-24-1e
es-index_indices_index_refresh_time,1719338513000000000,70193,es-data-paid1-es7-24-1e
es-index_indices_index_refresh_time,1719338573000000000,71167,es-data-paid1-es7-24-1e
es-index_indices_index_refresh_time,1719338633000000000,67780,es-data-paid1-es7-24-1e
es-index_indices_index_refresh_time,1719338693000000000,67309,es-data-paid1-es7-24-1e
es-index_indices_index_refresh_time,1719338753000000000,63898,es-data-paid1-es7-24-1e
es-index_indices_index_refresh_time,1719338813000000000,68788,es-data-paid1-es7-24-1e
es-index_indices_index_refresh_time,1719338873000000000,67144,es-data-paid1-es7-24-1e
es-index_indices_index_refresh_time,1719338933000000000,66110,es-data-paid1-es7-24-1e
es-index_indices_index_refresh_time,1719338993000000000,67199,es-data-paid1-es7-24-1e
es-index_indices_index_refresh_time,1719339053000000000,64046,es-data-paid1-es7-24-1e
es-index_indices_index_refresh_time,1719339113000000000,65222,es-data-paid1-es7-24-1e
es-index_indices_index_refresh_time,1719339173000000000,63878,es-data-paid1-es7-24-1e
es-index_indices_index_refresh_time,1719339233000000000,63460,es-data-paid1-es7-24-1e
es-index_indices_index_refresh_time,1719339293000000000,67202,es-data-paid1-es7-24-1e
es-index_indices_index_refresh_time,1719339353000000000,66590,es-data-paid1-es7-24-1e
es-index_indices_index_refresh_time,1719339413000000000,69250,es-data-paid1-es7-24-1e
es-index_indices_index_refresh_time,1719339473000000000,70138,es-data-paid1-es7-24-1e
es-index_indices_index_refresh_time,1719339533000000000,69275,es-data-paid1-es7-24-1e
es-index_indices_index_refresh_time,1719339593000000000,70035,es-data-paid1-es7-24-1e
es-index_indices_index_refresh_time,1719339653000000000,66596,es-data-paid1-es7-24-1e
es-index_indices_index_refresh_time,1719339713000000000,64995,es-data-paid1-es7-24-1e
